SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_YEAR
22015,1610612747,LAL,Los Angeles Lakers,0021500422,2015-12-22,LAL @ DEN,W,239,111,40,84,0.476,7,26,0.269,24,32,0.75,11,29,40,17,6,6,11,21,4.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500398,2015-12-19,LAL @ OKC,L,240,78,30,86,0.349,8,28,0.286,10,17,0.588,8,24,32,14,10,2,14,20,-40.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500385,2015-12-17,LAL vs. HOU,L,239,87,36,84,0.429,5,24,0.208,10,18,0.556,13,33,46,22,5,5,14,27,-20.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500370,2015-12-15,LAL vs. MIL,W,241,113,41,89,0.461,10,27,0.37,21,25,0.84,18,34,52,26,7,3,14,18,18.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500349,2015-12-12,LAL @ HOU,L,240,97,35,88,0.398,10,32,0.313,17,20,0.85,11,29,40,21,11,4,19,23,-29.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500342,2015-12-11,LAL @ SAS,L,238,87,36,88,0.409,9,25,0.36,6,10,0.6,9,27,36,20,7,5,15,21,-22.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500325,2015-12-09,LAL @ MIN,L,266,122,48,93,0.516,9,23,0.391,17,27,0.63,9,31,40,19,9,1,9,23,-1.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500308,2015-12-07,LAL @ TOR,L,241,93,34,83,0.41,7,19,0.368,18,20,0.9,14,33,47,14,4,4,15,23,-9.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500301,2015-12-06,LAL @ DET,L,240,91,32,80,0.4,5,18,0.278,22,29,0.759,8,31,39,12,6,4,15,21,-22.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500286,2015-12-04,LAL @ ATL,L,240,87,32,86,0.372,13,27,0.481,10,13,0.769,15,27,42,19,10,7,16,14,-13.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500269,2015-12-02,LAL @ WAS,W,240,108,41,96,0.427,8,25,0.32,18,20,0.9,16,29,45,17,18,3,16,22,4.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500263,2015-12-01,LAL @ PHI,L,240,91,33,89,0.371,8,34,0.235,17,24,0.708,12,34,46,15,4,2,11,19,-12.0,2015
22015,1610612747,LAL,Los Angeles Lakers,0021500253,2015-11-29,LAL vs. IND,L,240,103,38,99,0.384,11,33,0.333,16,22,0.727,15,39,54,17,6,5,10,27,-4.0,2015
